Numarul Circumscriptiei,Numarul total de alegatori,Raionul RO,Raionul RU,Localitatea/Adresa RO,Localitatea/Adresa RU,Numarul sectiei de vot,Adresa sectiei de vot
9,63919,Municipiul BĂLȚI,Муниципий Бэлць,MUNICIPIUL BĂLȚI 1,Муниципий Бэлць 1,,
9,63919,Municipiul BĂLȚI,Муниципий Бэлць,SADOVOE,Садовое,,
9,63919,Raionul FĂLEȘTI,Район Фэлешть,PÎRLIȚA,Пырлица,,
9,63919,Raionul FĂLEȘTI,Район Фэлешть,RĂUȚEL,Рэуцел,,
10,64376,Municipiul BĂLȚI,Муниципий Бэлць,MUNICIPIUL BĂLȚI 2,Муниципий Бэлць 2,,
10,64376,Municipiul BĂLȚI,Муниципий Бэлць,ELIZAVETA,Елизавета,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,BIRUINȚA,г. Бируинца,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,ALEXĂNDRENI,Алексэндрень ,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,CUBOLTA,Куболта,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,DOBROGEA VECHE,Доброджя Веке ,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,HECIUL NOU,Хечул Ноу ,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,SÎNGEREII NOI,Сынджереий Ной ,,
10,64376,Raionul SÎNGEREI,Район Сынджерей,ȚAMBULA,Цамбула,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,or. FĂLEȘTI,г. Фэлешть,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,ALBINEŢUL VECHI,Албинецул Векь  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,BOCANI,Бокань,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,CATRANIC,Катранык,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,CĂLINEȘTI,Кэлинешть  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,CĂLUGĂR,Кэлугэр  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,CHETRIȘ,Кетриш  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,CIOLACU NOU,Чолаку Ноу,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,EGOROVCA,Егоровка  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,FĂLEŞTII NOI,Фэлештий Ной,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,GLINJENI,Глинжень  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,HILIUŢI,Хилиуць  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,HÎNCEŞTI,Хынчешть  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,HOREŞTI,Хорешть  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,ILENUŢA,Иленуца  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,IŞCĂLĂU,Ишкэлэу  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,IZVOARE,Извоаре  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,LOGOFTENI,Логофтень  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,MĂRĂNDENI,Мэрэндень,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,MUSTEAŢA,Мустяца  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,NATALIEVCA,Натальевка ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,NĂVÎRNEŢ,Нэвырнец,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,OBREJA VECHE,Обрежа Веке  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,PIETROSU,Петросу  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,PÎNZĂRENI,Пынзэрень  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,POMPA,Помпа  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,PRUTENI,Прутень  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,RISIPENI,Рисипень  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,SĂRATA VECHE,Сэрата Веке  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,SCUMPIA,Скумпия  ,,
11,65631,Raionul FĂLEȘTI,Район Фэлешть,TAXOBENI,Таксобень  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,or. SÎNGEREI,г. Сынджерей,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,BĂLĂŞEŞTI,Бэлэшешть  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,BILICENII NOI,Биличений Ной,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,BILICENII VECHI,Биличений Векь ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,BURSUCENI,Бурсучень  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,CHIŞCĂRENI,Кишкэрень  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,CIUCIUIENI,Чучуень,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,COPĂCENI,Копэчень,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,COŞCODENI,Кошкодень,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,COTIUJENII MICI,Котюжений Мичь ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,DRĂGĂNEŞTI,Дрэгэнешть  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,DUMBRĂVIŢA,Думбрэвица ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,GRIGORĂUCA,Григорэука  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,IEZĂRENII VECHI,Езэрений Векь   ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,IZVOARE,Извоаре  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,PEPENI,Пепень  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,PREPELIŢA,Препелица,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,RĂDOAIA,Рэдоая  ,,
12,62053,Raionul SÎNGEREI,Район Сынджерей,TĂURA VECHE,Тэура Веке,,
